SERVICE,YEAR,MONTH,STATUS,ROW_COUNT,ERROR_MESSAGE,RUN_ID,INGESTED_AT_UTC
green,2015,1,ok,1508493,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2015,2,ok,1574830,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2015,3,ok,1722574,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2015,4,ok,1664394,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2015,5,ok,1786848,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2015,6,ok,1638868,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2015,7,ok,1541671,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2015,8,ok,1532343,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2015,9,ok,1494927,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2015,10,ok,1630536,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2015,11,ok,1529984,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2015,12,ok,1608297,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2016,1,ok,1445292,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2016,2,ok,1510722,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2016,3,ok,1576393,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2016,4,ok,1543926,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2016,5,ok,1536979,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2016,6,ok,1404727,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2016,7,ok,1332510,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2016,8,ok,1247675,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2016,9,ok,1162373,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2016,10,ok,1252572,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2016,11,ok,1148214,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2016,12,ok,1224158,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2017,1,ok,1069565,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2017,2,ok,1022313,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2017,3,ok,1157827,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2017,4,ok,1080844,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2017,5,ok,1059463,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2017,6,ok,976467,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2017,7,ok,914783,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2017,8,ok,867407,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2017,9,ok,882464,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2017,10,ok,925737,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2017,11,ok,874173,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2017,12,ok,906016,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2018,1,ok,792744,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2018,2,ok,769197,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2018,3,ok,836246,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2018,4,ok,799383,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
